case_id,case_index,material,object_id,candidate_id,candidate_family,selected_for_major,selected_for_minor,candidate_p0_x,candidate_p0_y,candidate_direction_x,candidate_direction_y,candidate_endpoint1_x,candidate_endpoint1_y,candidate_endpoint2_x,candidate_endpoint2_y,candidate_path_length_px_from_csv,mask_path_length_px_recomputed,mask_path_length_mm,strip_depth_path_length_mm,strip_depth_valid,strip_depth_failure_reason,strip_depth_num_supported_points,strip_depth_valid_depth_fraction,strip_depth_depth_median_mm,strip_depth_lower_endpoint_or_quantile_mm,strip_depth_upper_endpoint_or_quantile_mm,depth_endpoint_mode,depth_lower_quantile,depth_upper_quantile,depth_support_projected_lower,depth_support_projected_upper,depth_support_projected_span_mm,manual_major_selected,manual_minor_selected
case_007_2,7,brick,2,A3,pipeline_major,False,False,472.7155659213065,189.4738092385972,0.9968617213144685,-0.07916254529734908,396.9540751014069,195.49016268119573,548.4770567412061,183.45745579599867,151.99999999999997,151.99999999999997,68.79258194632509,57.58666527413029,True,,10679,0.8042717868571854,274.0,-21.862251476961045,35.571531383919535,percentile,0.0025,0.9975,-21.862251476961045,35.571531383919535,57.43378286088058,,
case_007_2,7,brick,2,A4,pipeline_major,False,False,465.04043555688827,92.82401560641665,0.9968617213144685,-0.07916254529734908,389.27894473698865,98.84036904901518,540.8019263767878,86.80766216381812,151.99999999999997,151.99999999999997,68.79258194632517,59.27312284151934,True,,11159,0.8396690518783542,272.0,-24.028683753911093,35.63415478055536,percentile,0.0025,0.9975,-24.028683753911093,35.63415478055536,59.66283853446645,,
case_007_2,7,brick,2,A5,pipeline_minor,False,False,427.9846886147659,244.16348202398746,0.07916254529734892,0.9968617213144686,410.76683501259254,27.346057638090542,445.2025422169393,460.98090640988437,435.0,435.0,196.84874930712675,190.73868700305627,True,,19512,0.5310653491237334,276.0,-89.63343539757489,101.10525160548139,percentile,0.0025,0.9975,-89.63343539757489,101.10525160548139,190.73868700305627,,
case_007_2,7,brick,2,A6,pipeline_minor,False,False,476.5531311035156,237.7987060546875,0.07916254529734892,0.9968617213144686,458.5832333210174,11.511095316303141,494.52302888601383,464.0863167930719,454.00000000000006,454.00000000000006,205.44674065617355,204.2976555837917,True,,38145,0.985189096761215,275.0,-99.67809396318982,104.61956162060186,percentile,0.0025,0.9975,-99.67809396318982,104.61956162060186,204.2976555837917,,
case_007_2,7,brick,2,A7,pipeline_minor,False,True,525.2798986828601,233.4276535280165,0.07916254529734887,0.9968617213144685,507.34958217301056,7.638473650289342,543.2102151927096,459.2168334057436,453.0,453.0,204.99421479569736,204.4911909682038,True,,37984,0.9885237218452846,275.0,-100.1170827910484,104.24881923441335,percentile,0.0025,0.9975,-100.1170827910484,104.24881923441335,204.36590202546174,,208.0
case_008_3,8,brick,3,A1,pipeline_major,False,False,719.8062163666912,394.59543123036923,0.2365672338768405,-0.9716151212573115,697.9237472330834,484.46982994667053,741.6886855002989,304.72103251406793,184.99999999999997,184.99999999999997,56.62368541443009,57.5568938703884,True,,15657,0.9909643890627768,281.0,-30.082243758839265,27.342901315762155,percentile,0.0025,0.9975,-30.082243758839265,27.342901315762155,57.42514507460142,,
case_008_3,8,brick,3,A2,pipeline_major,False,False,579.0463782717472,360.8380670009723,0.2365672338768405,-0.9716151212573116,557.282192755078,450.22665815664493,600.8105637884166,271.44947584529956,184.00000000000003,184.00000000000003,56.31761143921705,56.51982161136529,True,,15679,0.9650894914052809,279.0,-29.578419712161928,27.4329674660653,percentile,0.0025,0.9975,-29.578419712161928,27.4329674660653,57.01138717822723,,
case_008_3,8,brick,3,A3,pipeline_major,True,False,438.99624187843375,324.1658574078034,0.23656723387684012,-0.9716151212573116,416.64063827707236,415.98348636661933,461.35184547979514,232.3482284489874,189.00000000000003,189.00000000000003,57.84798131528234,58.44557865147489,True,,16231,0.9822198594128418,279.0,-29.980940440447824,28.690883142509396,percentile,0.0025,0.9975,-29.980940440447824,28.690883142509396,58.671823582957224,58.5,
case_008_3,8,brick,3,A4,pipeline_major,False,False,298.47297101736666,289.43687805714904,0.2365672338768405,-0.9716151212573115,275.76251656518997,382.71192969785096,321.18342546954335,196.16182641644713,192.00000000000003,192.00000000000003,58.76620324092271,58.72836135917892,True,,16385,0.9929132463237466,277.0,-30.31996091905639,28.83813070411097,percentile,0.0025,0.9975,-30.31996091905639,28.83813070411097,59.15809162316736,,
case_008_3,8,brick,3,A5,pipeline_minor,False,False,497.26379898075777,401.35954505482255,0.9716151212573116,0.2365672338768403,171.2869257989297,321.99123808914266,823.2406721625858,480.7278520205025,671.0,671.0,205.39888010366104,206.72760418460072,True,,56762,0.9693535622274235,279.0,-101.95423448834262,104.81681910764071,percentile,0.0025,0.9975,-101.95423448834262,104.81681910764071,206.77105359598332,,
