lower_threshold,lower_inclusive,upper_inclusive,present_correct,present_wrong_selection,present_rejected,unreviewed_selections,absent_rejected,absent_false_accepts,present_accuracy_percent,absent_rejection_percent,overall_correct,overall_accuracy_percent,overall_lower_percent,overall_upper_percent,target_confirmed
0.784758985042572,False,0.7911633253097534,20,0,43,0,9,0,31.746031746031747,100.0,29,40.27777777777778,40.27777777777778,40.27777777777778,False
0.7911633253097534,False,0.8010328412055969,19,0,44,0,9,0,30.158730158730158,100.0,28,38.888888888888886,38.888888888888886,38.888888888888886,False
0.8010328412055969,False,0.8175323605537415,18,0,45,0,9,0,28.571428571428573,100.0,27,37.5,37.5,37.5,False
0.8175323605537415,False,0.8316866755485535,17,0,46,0,9,0,26.984126984126984,100.0,26,36.111111111111114,36.111111111111114,36.111111111111114,False
0.8316866755485535,False,0.8384943008422852,16,0,47,0,9,0,25.396825396825395,100.0,25,34.72222222222222,34.72222222222222,34.72222222222222,False
0.8384943008422852,False,0.8398587107658386,15,0,48,0,9,0,23.80952380952381,100.0,24,33.333333333333336,33.333333333333336,33.333333333333336,False
0.8398587107658386,False,0.8523852825164795,14,0,49,0,9,0,22.22222222222222,100.0,23,31.944444444444443,31.944444444444443,31.944444444444443,False
0.8523852825164795,False,0.8878313302993774,13,0,50,0,9,0,20.634920634920636,100.0,22,30.555555555555557,30.555555555555557,30.555555555555557,False
0.8878313302993774,False,0.89349764585495,12,0,51,0,9,0,19.047619047619047,100.0,21,29.166666666666668,29.166666666666668,29.166666666666668,False
0.89349764585495,False,0.8946208357810974,11,0,52,0,9,0,17.46031746031746,100.0,20,27.77777777777778,27.77777777777778,27.77777777777778,False
0.8946208357810974,False,0.8956970572471619,10,0,53,0,9,0,15.873015873015873,100.0,19,26.38888888888889,26.38888888888889,26.38888888888889,False
0.8956970572471619,False,0.9181249141693115,9,0,54,0,9,0,14.285714285714286,100.0,18,25.0,25.0,25.0,False
0.9181249141693115,False,0.9460432529449463,8,0,55,0,9,0,12.698412698412698,100.0,17,23.61111111111111,23.61111111111111,23.61111111111111,False
0.9460432529449463,False,0.959014892578125,7,0,56,0,9,0,11.11111111111111,100.0,16,22.22222222222222,22.22222222222222,22.22222222222222,False
